epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.0173,3.68494,0.03472,0.22222,3.60336,5.474e-05,5.474e-05,5.474e-05
2,28.4283,3.61349,0.07639,0.32639,3.48048,7.49462e-05,7.49462e-05,7.49462e-05
3,40.8481,3.51984,0.13889,0.40972,3.37839,5.74532e-05,5.74532e-05,5.74532e-05
